구분,분류,부문,URL,작가명,작가 UUID
수상 작가,판매 우수,d special 작가상,https://www.idus.com/v2/artist/a9a5246d-34b0-4c75-ba1c-89b5c1a05110,쿨쿨잠스튜디오,a9a5246d-34b0-4c75-ba1c-89b5c1a05110
수상 작가,판매 우수,d special 작가상,https://www.idus.com/v2/artist/02751001-5e7e-4d19-ad21-b3566cca1144,미미점빵,02751001-5e7e-4d19-ad21-b3566cca1144
수상 작가,판매 우수,d special 작가상,https://www.idus.com/v2/artist/be2c6e0e-9ec4-4a5a-93f7-d82c633d7b0c,해피멈머,be2c6e0e-9ec4-4a5a-93f7-d82c633d7b0c
수상 작가,판매 우수,성장상,https://www.idus.com/v2/artist/e9e9b77d-a863-495f-92fb-066cb72d5d6f,목공하는아빠,e9e9b77d-a863-495f-92fb-066cb72d5d6f
수상 작가,판매 우수,성장상,https://www.idus.com/v2/artist/363ae59a-9e2b-4afc-9c6f-05075f655444,소드락이,363ae59a-9e2b-4afc-9c6f-05075f655444
수상 작가,판매 우수,성장상,https://www.idus.com/v2/artist/d3ae58fe-4fe2-41d9-8be6-22f90f355e28,뜰랑말랑,d3ae58fe-4fe2-41d9-8be6-22f90f355e28
수상 작가,판매 우수,성장상,https://www.idus.com/v2/artist/601909e0-6ab3-4174-a33a-b564288ecd9d,공방한땀두땀,601909e0-6ab3-4174-a33a-b564288ecd9d
수상 작가,판매 우수,성장상,https://www.idus.com/v2/artist/5326b4c0-10d1-4f2b-8647-6cc4eb71ba7e,명인코스메틱,5326b4c0-10d1-4f2b-8647-6cc4eb71ba7e
수상 작가,판매 우수,신인상,https://www.idus.com/v2/artist/f360eaea-77ea-4e5e-8357-fdc969b29e42,꽃쟁이의 소꿉놀이터,f360eaea-77ea-4e5e-8357-fdc969b29e42
수상 작가,판매 우수,신인상,https://www.idus.com/v2/artist/b25e5f70-0250-4c2c-bafc-3691123663e1,아얀다하우스,b25e5f70-0250-4c2c-bafc-3691123663e1
수상 작가,판매 우수,신인상,https://www.idus.com/v2/artist/25cee04d-d3f9-48d5-9fce-19fd0e4476b7,여누즈,25cee04d-d3f9-48d5-9fce-19fd0e4476b7
수상 작가,판매 우수,신인상,https://www.idus.com/v2/artist/6410a4f7-59e3-4ce6-b352-3824d871a2c8,gongambox,6410a4f7-59e3-4ce6-b352-3824d871a2c8
수상 작가,판매 우수,신인상,https://www.idus.com/v2/artist/10e953fb-6221-41cb-a45e-5f76340000db,디브스튜디오,10e953fb-6221-41cb-a45e-5f76340000db
수상 작가,판매 우수,글로벌 최우수상 ,https://www.idus.com/v2/artist/20d77cc8-2ca1-48e3-9cba-5f00655fe5f5,복짐(Bokzim),20d77cc8-2ca1-48e3-9cba-5f00655fe5f5
수상 작가,판매 우수,글로벌 우수상,https://www.idus.com/v2/artist/70fdb061-ecb0-11e3-954e-06a6fa0000b9,빈쌤의 빈티지아트샵(빈크레프트),70fdb061-ecb0-11e3-954e-06a6fa0000b9
수상 작가,판매 우수,베스트 선물상,https://www.idus.com/v2/artist/fc1a10ac-d67d-11e4-909c-06f4fe0000b5,그리다봄,fc1a10ac-d67d-11e4-909c-06f4fe0000b5
수상 작가,판매 우수,베스트 선물상,https://www.idus.com/v2/artist/670ebf4f-df9e-49e6-a221-4c860f5666a0,박판호순천한우,670ebf4f-df9e-49e6-a221-4c860f5666a0
수상 작가,판매 우수,베스트 선물상,https://www.idus.com/v2/artist/d225587f-0bbf-40b4-9c29-effa27632d74,반달콤,d225587f-0bbf-40b4-9c29-effa27632d74
수상 작가,판매 우수,베스트 선물상,https://www.idus.com/v2/artist/8fdaf8b1-f76f-4ab8-8e8c-988ef8ab51d2,커플링 공작소,8fdaf8b1-f76f-4ab8-8e8c-988ef8ab51d2
수상 작가,판매 우수,베스트 선물상,https://www.idus.com/v2/artist/38087a84-e6aa-4cc4-98ef-8f3cd1c47137,포도웅아,38087a84-e6aa-4cc4-98ef-8f3cd1c47137
수상 작가,활동 우수,인기상,https://www.idus.com/v2/artist/225bb3cb-6d8d-4a96-9e31-d813ccf045e3,달사이로,225bb3cb-6d8d-4a96-9e31-d813ccf045e3
수상 작가,활동 우수,인기상,https://www.idus.com/v2/artist/5d461746-da18-4bff-a4ff-4323b04cd20c,45번길쿠키,5d461746-da18-4bff-a4ff-4323b04cd20c
수상 작가,활동 우수,인기상,https://www.idus.com/v2/artist/7a4e09b4-1aa4-4124-a483-3f8d06db3436,비올레타,7a4e09b4-1aa4-4124-a483-3f8d06db3436
수상 작가,활동 우수,인기상,https://www.idus.com/v2/artist/5f3f78c8-de4e-4a6d-a16c-3266ea61edb7,47베이지,5f3f78c8-de4e-4a6d-a16c-3266ea61edb7
수상 작가,활동 우수,인기상,https://www.idus.com/v2/artist/ba8935de-9ce5-48b2-9fa9-4b4cf24dd03e,나크공방,ba8935de-9ce5-48b2-9fa9-4b4cf24dd03e
수상 작가,활동 우수,가치상,https://www.idus.com/v2/artist/8ec145ff-c723-41c8-a589-34ea6eb9aae7,사회적기업 목화송이협동조합,8ec145ff-c723-41c8-a589-34ea6eb9aae7
수상 작가,활동 우수,가치상,https://www.idus.com/v2/artist/afabc169-597b-4801-ab5e-d1801d758e8d,죽호바람,afabc169-597b-4801-ab5e-d1801d758e8d
수상 작가,활동 우수,가치상,https://www.idus.com/v2/artist/c09729d4-c989-4849-9502-702ca62030b5,studio js 스튜디오제이앤에스,c09729d4-c989-4849-9502-702ca62030b5
수상 작가,활동 우수,가치상,https://www.idus.com/v2/artist/0789c15c-bfde-443a-b98e-b9221b99e81b,이네스야,0789c15c-bfde-443a-b98e-b9221b99e81b
수상 작가,활동 우수,최우수 소통상,https://www.idus.com/v2/artist/2a696438-7688-4b19-a475-3919bc562bff,묘한한땀,2a696438-7688-4b19-a475-3919bc562bff
수상 작가,활동 우수,우수 소통상,https://www.idus.com/v2/artist/68a48267-72e9-4121-a281-e8361e761fa9,아틀리에지 포터메리,68a48267-72e9-4121-a281-e8361e761fa9
수상 작가,활동 우수,우수 소통상,https://www.idus.com/v2/artist/d0d24a93-9dff-4b72-85cb-794289984499,티닥,d0d24a93-9dff-4b72-85cb-794289984499
수상 작가,활동 우수,우수 소통상,https://www.idus.com/v2/artist/7d98c1a9-5127-47cf-9b5f-d946717b7136,gomglak(곰지락),7d98c1a9-5127-47cf-9b5f-d946717b7136
수상 작가,활동 우수,우수 소통상,https://www.idus.com/v2/artist/4e92458a-a40f-4de9-a027-a31303a50bd1,진앤클레어,4e92458a-a40f-4de9-a027-a31303a50bd1
수상 작가,활동 우수,우수 소통상,https://www.idus.com/v2/artist/7b7f8aea-9bc9-4620-a353-53fa1fb0282d,민앤승,7b7f8aea-9bc9-4620-a353-53fa1fb0282d
수상 작가,활동 우수,공예 / 디자인상,https://www.idus.com/v2/artist/8af87b5c-aa39-4284-bab2-6041736e517e,하츠하나,8af87b5c-aa39-4284-bab2-6041736e517e
수상 작가,활동 우수,공예 / 디자인상,https://www.idus.com/v2/artist/5cab31c0-7d97-4898-8541-b4660c350d1c,TINY BITE,5cab31c0-7d97-4898-8541-b4660c350d1c
수상 작가,활동 우수,공예 / 디자인상,https://www.idus.com/v2/artist/9572a0ed-7e50-4aaa-94ab-5d51b92deda5,레더몹,9572a0ed-7e50-4aaa-94ab-5d51b92deda5
수상 작가,활동 우수,공예 / 디자인상,https://www.idus.com/v2/artist/3d58ba29-f005-4e9d-abb4-11e03b421d30,아뜰리에 모네,3d58ba29-f005-4e9d-abb4-11e03b421d30
수상 작가,활동 우수,우수 활동상,https://www.idus.com/v2/artist/775661d3-989b-11e4-a0e7-06f4fe0000b5,엠캐슬공방,775661d3-989b-11e4-a0e7-06f4fe0000b5
수상 작가,활동 우수,우수 활동상,https://www.idus.com/v2/artist/66ca13f6-4a2c-45ed-92da-54730de62d86,힐링스토리,66ca13f6-4a2c-45ed-92da-54730de62d86
수상 작가,활동 우수,우수 활동상,https://www.idus.com/v2/artist/93b853bd-3027-4ab8-86c0-3b2edd31d6b4,류디저트(ryu dessert),93b853bd-3027-4ab8-86c0-3b2edd31d6b4
수상 작가,활동 우수,우수 활동상,https://www.idus.com/v2/artist/e116ed20-1908-41b6-a331-b1bd9b1aa1a4,오스트리치 FACTORY,e116ed20-1908-41b6-a331-b1bd9b1aa1a4
수상 작가,활동 우수,특별상,https://www.idus.com/v2/artist/f650c8ae-4a8c-4264-b3a7-c8852d494563,몽고미,f650c8ae-4a8c-4264-b3a7-c8852d494563
수상 작가,활동 우수,특별상,https://www.idus.com/v2/artist/bf00b92f-a5e1-4a1f-a83d-227a06220477,Libet(세레스),bf00b92f-a5e1-4a1f-a83d-227a06220477
수상 작가,활동 우수,특별상,https://www.idus.com/v2/artist/c677e4f2-e7b6-46a2-bb7f-137e4eecc310,브릴리언트레코드,c677e4f2-e7b6-46a2-bb7f-137e4eecc310
수상 작가,활동 우수,K-힙상,https://www.idus.com/v2/artist/df335702-7c84-4d17-8d8d-f762967825d3,옛.쁨,df335702-7c84-4d17-8d8d-f762967825d3
수상 작가,활동 우수,K-힙상,https://www.idus.com/v2/artist/d11fedcd-d354-4707-acf4-4096b82a833b,메이드로담,d11fedcd-d354-4707-acf4-4096b82a833b
수상 작가,활동 우수,K-힙상,https://www.idus.com/v2/artist/1def4d4f-634a-4046-a44d-be39a3a5bcc5,청순한호랑이,1def4d4f-634a-4046-a44d-be39a3a5bcc5
